Title,Beds,Location,Price,Reviews,Host
"<meta content=""David Emanuel Suite, Grade 11* Gileston Manor"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_717228152145251237"">Private room in Gileston</div>",$839 per night,,
"<meta content=""NEW Luxury Romantic Cottage - Idyllic Rural Bliss"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_44287371"">Cottage in Northamptonshire</div>",$249 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.98 (172)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Mirts Mansion - Little Country Houses SS"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_37315863"">Tiny home in Mickleton</div>",$208 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.87 (126)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""The Croft Chalet Pods - pod 2, Loch Katrine"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_39188298"">Tiny home in Idrigil</div>",$151 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (94)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Small bed bedroom in a cosy Victorian flat"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_52959939"">Private room in London</div>",$80 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.95 (20)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Ambler's Watch"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_52388567"">Home in Amble</div>",$162 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.93 (74)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Harmony Penthouse Snug"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_25662958"">Private room in Glasgow City</div>","$63 per night, originally $82","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (213)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Scottish Highland Castle, Blackcraig Garden Apt"" itemprop=""name""/>","<span class=""dir dir-ltr"">4 single beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_10520768"">Castle in Ballintuim</div>",$270 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.93 (126)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Berney - converted railway carriage"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 double beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_717252861094581767"">Train in Trowse Newton</div>",$179 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">New</span>",
"<meta content=""Anella Boutique Camping Bell Tent Hire- N Cornwall"" itemprop=""name""/>","<span class=""dir dir-ltr"">4 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_26400864"">Tent in Cornwall</div>",$124 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.93 (14)</span>",
"<meta content=""Moon Conker, unique riverside  tree pod with fire"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_52486389"">Treehouse in Llanafan-fawr</div>",$250 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.46 (24)</span>",
"<meta content=""The Island Lodge at Little Horseshoe Lake."" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_27832095"">Cottage in Gloucestershire</div>","$519 per night, originally $637","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (116)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Oak-UK36258 (UK36258)"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_53090031"">Home in Llanfair Caereinion</div>",$189 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">New</span>",
"<meta content=""Cow Shed: Daisy at Easton Farm Park"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_29029067"">Farm stay in Woodbridge</div>",$149 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.78 (32)</span>",
"<meta content=""Coastal ensuite pod escape, tub at GWBERT GLAMPING"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_12313269"">Tiny home in Gwbert</div>",$261 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.85 (13)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Dartmoor View Luxury Log Cabin with Hot Tub"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_41686582"">Cabin in Devon</div>",$263 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (202)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Earth Conker, unique living treepod"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_32326256"">Treehouse in Llanafan-fawr</div>",$265 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.86 (22)</span>",
"<meta content=""The Otters Holt with Scandinavian hot tub"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_740340702133737698"">Dome in Milton Bridge</div>",$337 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (6)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Glamping &amp; Barbecue Cabin at Moorside Farmhouse"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 single beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_30232430"">Hut in Harrogate</div>",$138 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (292)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Pinetree Lodge, romantic getaway in the Cotswolds"" itemprop=""name""/>",,"<div class=""t1jojoys dir dir-ltr"" id=""title_48316192"">Tiny home in Mickleton</div>",$264 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.98 (96)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Get away from it all in our cozy Hideaway"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_44289273"">Cottage in Minera</div>",$117 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (74)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Hastings Retreat Parlour barn with private lake"" itemprop=""name""/>","<span class=""dir dir-ltr"">4 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_44097142"">Cottage in Leicestershire</div>",$342 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (93)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Host &amp; Stay | Pier View"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_539531064143581698"">Apartment in Redcar and Cleveland</div>",$146 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.83 (18)</span>",
"<meta content=""Countryside Retreat/Panoramic Picturesque Views"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43778355"">Barn in Christian malford, Chippenham, Wiltshire</div>",$213 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.98 (144)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Lapwing House - Modern luxury in North Norfolk"" itemprop=""name""/>","<span class=""dir dir-ltr"">5 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_751914830964672294"">Home in Heacham</div>",$893 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">New</span>",
"<meta content=""Tranquil and Cosy Perthshire Cabin"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_27830480"">Place to stay in Perth</div>",$96 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.97 (447)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Cairn Pod"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_20554482"">Tiny home in Bonar Bridge</div>",$117 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.95 (437)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
