Title,Beds,Location,Price,Reviews,Host
"<meta content=""Unique glamping experience near Ely &amp; Cambridge"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_35134577"">Hut in Sutton</div>","$208 per night, originally $257","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.92 (318)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Unique and Secluded AirShip with Breathtaking Highland Views"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 queen bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_19997279"">Tiny home in Drimnin</div>",$228 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.95 (325)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Plus</div>"
"<meta content=""“The Orchard”  Beautiful location, amazing views"" itemprop=""name""/>","<span class=""dir dir-ltr"">4 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_46700145"">Farm stay in Maidenwells</div>",$207 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.98 (129)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Island View Cabin - Tenby - Romantic cabin for 2."" itemprop=""name""/>","<span class=""dir dir-ltr"">2 double beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_12050493"">Cabin in Tenby</div>",$106 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.92 (555)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Sunset Cabin: with hot tub and views"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_24316034"">Cabin in Pembrokeshire</div>",$138 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.99 (237)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Eastburn: Gorgeous 2-bed cottage near St Andrews"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_19758366"">Cottage in Fife</div>",$125 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (129)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Nature Observatory on Secluded Island"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_21375511"">Island in Badachro</div>",$207 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.73 (50)</span>",
"<meta content=""UFO  'Futuro styled Flying Saucer'!"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_20445002"">Private room in Redberth</div>","$248 per night, originally $272","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.77 (31)</span>",
"<meta content=""NEW Luxury Romantic Cottage - Idyllic Rural Bliss"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_44287371"">Cottage in Northamptonshire</div>",$251 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.98 (172)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Kinnettles Mansion"" itemprop=""name""/>","<span class=""dir dir-ltr"">9 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_37013228"">Castle in Fife</div>","$619 per night, originally $849","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (22)</span>",
"<meta content=""Cosy En-Suite Room With Views of Lakeland Fells"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_49555640"">Private room in Cumbria</div>",$98 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.84 (101)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Box6 @ West Down - Stunning views &amp; luxury living"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_46098211"">Farm stay in Corton Denham</div>",$125 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (58)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Mirts Mansion - Little Country Houses SS"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_37315863"">Tiny home in Mickleton</div>",$161 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.87 (126)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""❤️ Romantic Woodland Lodge ❤️"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_20910508"">Tiny home in Diggle</div>",$186 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (573)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Scottish Highland Castle, Blackcraig Garden Apt"" itemprop=""name""/>","<span class=""dir dir-ltr"">4 single beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_10520768"">Castle in Ballintuim</div>",$202 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.93 (126)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""THE OLD SUNDAY SCHOOL"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 queen bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_29330518"">Cottage in Adstock</div>",$143 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.95 (221)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""*NEW* Rumps Ahead - Deluxe Coastal Cottage for 2"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_48622375"">Barn in Cornwall</div>",$159 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (27)</span>",
"<meta content=""The Blue House on the Beach in Camber"" itemprop=""name""/>","<span class=""dir dir-ltr"">4 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_13390737"">Home in Camber</div>","$1,001 per night","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.97 (36)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""3 bed house with amazing sea view and beach access"" itemprop=""name""/>","<span class=""dir dir-ltr"">5 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43462569"">Home in Mullion</div>",$269 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.86 (64)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""The End Place - A romantic hideaway for two"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 queen bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_22040326"">Cottage in Bewerley</div>",$116 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (200)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""The Wee Love Nest &amp; Luv Tub"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_32888321"">Cabin in Aberdeenshire</div>",$225 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.99 (217)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Ranmoor Estate - Blackbird Lodge - Hot Tub **NEW**"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_52764479"">Cottage in Hill</div>",$207 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.75 (110)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Snope Cottage"" itemprop=""name""/>","<span class=""dir dir-ltr"">4 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_4601594"">Cottage in Alston</div>",$158 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.8 (300)</span>",
"<meta content=""Lushna 1 Mezzanine  - Lee Wick Farm Glamping"" itemprop=""name""/>","<span class=""dir dir-ltr"">Dec 5 – 10</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_38547967"">Private room in St. Osyth</div>",$178 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.89 (18)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""The Loft at Manor Farm Stays with Hot Tub"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_31979336"">Barn in Thetford </div>",$241 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.99 (227)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
