Name,Listing_type,Location,Rating,Host,Beds,DiscountedPrice,OriginalPrice,Latitude,Longitude,State,Country,ZipCodes,Codes
Little Mead.,Entire holiday home,Tenby,9.0,Superb,3,306,361,51.6726128,-4.7050443,Cymru / Wales,United Kingdom,SA70 7JS,gb
South Coast Haven Apartments,Entire apartment,Peacehaven,8.8,Fabulous,3,202,238,50.796951899999996,0.006895539586744438,England,United Kingdom,BN10 8DF,gb
16 Queen Avenue City Centre Serviced Apartment w free parking,Entire apartment,"Liverpool City Centre, Liverpool",8.4,Very good,3,271,0,53.4773112,-2.2581189,England,United Kingdom,M3 4JJ,gb
PENTHOUSE sea-view Apartment-Plymouth - Sleeps 7 - Private Parking - Habita Property,Entire apartment,Plymouth,8.0,Very good,8,244,320,50.3712659,-4.1425658,England,United Kingdom,PL1 1HH,gb
Dormans Point,Entire holiday home,Donaghadee,9.5,Exceptional,1,197,214,54.6411042,-5.5391029,Tuaisceart Éireann / Northern Ireland,United Kingdom,BT21 0BD,gb
Smart Sleep Apartments,Entire apartment,"East End, Glasgow",9.0,Superb,3,357,388,55.858496900000006,-4.202141578949506,Alba / Scotland,United Kingdom,G31 3SR,gb
Hillyard Mews,Entire holiday home,Newcastle,9.4,Superb,3,213,266,54.9738474,-1.6131572,England,United Kingdom,NE1 6QG,gb
ApartHotel421 by Seafront Collection,Entire apartment,"Blackpool Centre, Blackpool",8.1,Very good,5,294,319,53.79976295,-3.042623393215248,England,United Kingdom,FY4 3AD,gb
Zest Apartment Two,Entire apartment,"Manchester City Centre, Manchester",7.3,Good,2,316,343,53.484131,-2.2380465,England,United Kingdom,M4 1FS,gb
Ardrossan 2 Bedroom Flat,Entire apartment,Ardrossan,8.3,Very good,1,182,214,55.6400504,-4.8148569,Alba / Scotland,United Kingdom,KA22 8DG,gb
Cosy two bedroom apartment,Entire apartment,Bishop Auckland,8.7,Fabulous,2,146,171,54.6640762,-1.6752864,England,United Kingdom,DL14 7EP,gb
Host & Stay - Diamond Three,Entire apartment,Saltburn-by-the-Sea,8.0,Very good,2,226,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
Belgrade Plaza Serviced Apartments,Entire apartment,"Coventry City Centre, Coventry",8.2,Very good,2,212,304,52.41467755,-1.505690479531102,England,United Kingdom,CV1 4GE,gb
Superb City Center 1 or 2 BR Apts King Bed - Wise Stays,Entire apartment,"Southampton City Centre, Southampton",9.0,Superb,2,292,417,50.90804385,-1.4064830904331815,England,United Kingdom,SO14 7LY,gb
The Westgate,Entire holiday home,Charmouth,9.0,Superb,3,443,0,50.737992399999996,-2.906532918406503,England,United Kingdom,DT6 6BH,gb
TULIP LODGE-Green & Peace with hot tub,Entire holiday home,Little Habton,8.6,Fabulous,4,461,501,54.1856647,-0.8610486,England,United Kingdom,YO17 6UA,gb
"THE OLD RECTORY ROSE COTTAGE in Jacobstow 10 mins to Widemouth bay and Crackington Haven,15 mins Bude,20 mins tintagel, 27 mins Port Issac",Entire holiday home,Jacobstow,8.8,Fabulous,3,191,207,50.7337413,-4.5550398,England,United Kingdom,EX23 0BR,gb
Just Launched! Modern 2-Bed Apartment in Coventry,Entire apartment,Spon End,8.7,Fabulous,4,311,339,52.4069072,-1.5247498,England,United Kingdom,CV1 3GR,gb
Heritage House Apartments - Blackpool Resort Collection,Entire apartment,"Blackpool Centre, Blackpool",8.9,Fabulous,5,394,0,53.79976295,-3.042623393215248,England,United Kingdom,FY4 3AD,gb
"Kings Court Modern Aparthotel, Town Centre - Blackpool Resort Collection",Entire apartment,"Blackpool Centre, Blackpool",8.9,Fabulous,4,357,0,53.79976295,-3.042623393215248,England,United Kingdom,FY4 3AD,gb
SideMersey Livings - 2 Bedroom Central Apartment with Parking,Entire apartment,"Liverpool City Centre, Liverpool",9.3,Superb,4,533,0,53.4773112,-2.2581189,England,United Kingdom,M3 4JJ,gb
Bayard Plaza Penthouse Apartments,Entire apartment,Peterborough,7.8,Good,3,339,388,52.5725769,-0.2427336,England,United Kingdom,PE1 1YD,gb
DARTMOUTH TOWN CENTER and PRIVATE PARKING - TWO SUPER STYLISH DUPLEX APARTMENTS - With Connecting Door For Larger Groups!!!,Entire apartment,Dartmouth,8.8,Fabulous,4,321,388,50.3514839,-3.583844,England,United Kingdom,TQ6 9ES,gb
Fabrik: Winter Gardens Service Apartments 2,Entire apartment,"North Shore, Blackpool",7.7,Good,4,177,0,53.8264674,-3.0537029,England,United Kingdom,FY1 2HR,gb
The Bewdley Bolthole - Your Hideaway,Entire bungalow,Bewdley,8.6,Fabulous,4,0,0,52.3754763,-2.3162408,England,United Kingdom,DY12 2AP,gb
Troedyrhiw Holiday Cottages,Entire holiday home,Cardigan,9.3,Superb,2,0,0,52.0839973,-4.6604224,Cymru / Wales,United Kingdom,SA43 1JR,gb
"North Face Apartment , Fort William",Entire apartment,Torlundy,8.5,Very good,6,0,0,56.8478076,-5.0443183,Alba / Scotland,United Kingdom,PH33 6SS,gb
The Old Vicarage,Entire holiday home,Berwick-Upon-Tweed,9.5,Exceptional,3,0,0,55.7692442,-2.0026472,England,United Kingdom,TD15 1EG,gb
Olympic Village Vela - Portland,Entire holiday home,Portland,8.6,Fabulous,4,0,0,45.5202471,-122.674194,Oregon,United States,97204,us
Calm Waters,Entire apartment,Kent,8.0,Very good,4,0,0,51.20707485,0.7210361813401444,England,United Kingdom,TN27 9BB,gb
Comfortable 2 Bed Apartment 2nd Floor Contractors Families Close To City Centre Occasional Bed Available,Entire apartment,Coventry,8.3,Very good,2,0,0,52.4081812,-1.510477,England,United Kingdom,CV1 1LL,gb
Shirley Fantastic Penthouse En-Suite Families and Contractors Occasional Bed Available,Entire apartment,Solihull,8.8,Fabulous,3,0,0,52.4130189,-1.7768935,England,United Kingdom,B91 3AZ,gb
