Name,Listing_type,Location,Rating,Host,Beds,DiscountedPrice,OriginalPrice,Latitude,Longitude,State,Country,ZipCodes,Codes
Yosemite Gatekeeper's Lodge,Entire holiday home,El Portal,8.2,Very good,3,474,361,25.8553739,-80.193103,Florida,United States,33138,us
Crown Point Resort,2 entire apartment,Horseshoe Bend,9.2,Superb,2,382,0,36.2200685,-91.7474413,Arkansas,United States,72512,us
Los Angeles Premium 2BR&2BT Suites with Free Parking,Entire apartment,"Hollywood, Los Angeles",8.8,Fabulous,3,540,320,34.1010753,-118.3415105,California,United States,90028,us
Iconic View - Cozy 2BR Suite at the hotel,Entire apartment,Hallandale Beach,9.5,Exceptional,4,436,214,25.9812025,-80.148379,Florida,United States,33009,us
Lazy Bear Den,Entire holiday home,Sevierville,9.7,Exceptional,4,498,266,35.8667112,-83.5620518,Tennessee,United States,37862,us
Fall River cozy apartment,Entire apartment,Fall River,7.9,Good,2,522,319,41.7010642,-71.1546367,Massachusetts,United States,02722,us
BeachTrail Lodging,Entire apartment,"Indian Rocks Beach, Clearwater Beach",9.3,Superb,3,360,343,27.88248665,-82.84753597196398,Florida,United States,33785,us
"Chestnut View Cottage - 2BR, Private, Quiet, Professional Hosts, Smart TVs, Full Kitchen, and More!",Entire holiday home,Fieldale,,Exceptional,4,199,214,36.697976499999996,-79.94492174966402,Virginia,United States,24089,us
Mammoth Village Properties by 101 Great Escapes,Entire apartment,Mammoth Lakes,8.8,Fabulous,4,892,171,37.6432525,-118.9668509,California,United States,93546,us
"Rockaway Oceanview Retreat-Oceanviews,Steps to the beach & Downtown Rockaway, WiFi",Entire holiday home,Rockaway Beach,9.3,Superb,5,329,0,45.613598,-123.943147,Oregon,United States,97136,us
Sunrise on deck!,Entire apartment,Myrtle Beach,9.2,Superb,3,312,304,33.6956461,-78.8900409,South Carolina,United States,29577,us
Kasa University Medical Center Durham,Entire apartment,Durham,7.5,Good,4,463,417,35.996653,-78.9018053,North Carolina,United States,27701,us
Elevation Lofts Hotel,Entire apartment,"Downtown Asheville, Asheville",9.7,Exceptional,2,554,0,35.59377645,-82.55674646673953,North Carolina,United States,28801,us
AMAZING 2BR 2BA NEWLY RENO BEACHFRONT APT W/BEACH VIEW,Entire apartment,"Hollywood Beach, Hollywood",9.1,Superb,3,874,501,26.0281452,-80.1142111,Florida,United States,33019,us
Luxury 2 Bedroom 2 Bath Suite in the Four Seasons Hotel Miami,Private suite,"Brickell, Miami",9.0,Superb,3,2479,0,25.7637907,-80.1954604,Florida,United States,33131,us
Country Farmhouse,Entire apartment,East Montpelier,9.5,Exceptional,3,407,207,44.271263,-72.487106,Vermont,United States,05651,us
Hidden Gem! Turtle Bay Hideaway,Entire apartment,Kahuku,,Exceptional,1,825,339,21.6844495,-157.9416673099028,Hawaii,United States,96731,us
Child Friendly Ski Condo with Sauna at Smugglers Notch,Entire apartment,Cambridge,9.5,Exceptional,6,319,0,52.2055314,0.1186637,England,United Kingdom,CB2 3NR,gb
Lake Hartwell Rental w/Dock,Entire holiday home,Fair Play,9.7,Exceptional,3,298,0,37.6300394,-93.5732585,Missouri,United States,65649,us
Zion Wildflower,2 entire bungalow,Virgin,9.2,Superb,2,833,0,37.201902,-113.1878542,Utah,United States,84779,us
Fairway Forest,2 private suite,Sapphire,8.4,Very good,2,825,388,41.0849899,29.005998304859514,,Türkiye,34415,tr
Mountainside Villas at Massanutten by TripForth,Entire holiday home,McGaheysville,8.6,Fabulous,5,255,388,38.3712399,-78.7322449,Virginia,United States,22840,us
Aqua Haven - Second Street from Beach Home,Entire holiday home,Holden Beach,9.5,Exceptional,2,312,0,33.9135061,-78.3038892,North Carolina,United States,28462,us
"Yovan Longevity & Health Resorts, Catskills",2 private suite,Monticello,7.8,Good,2,1242,0,42.617236,8.9546269,Corse,France,20220,fr
Hilton Daytona Beach Resort,2 private suite,Daytona Beach,7.1,Good,2,2459,0,29.2108147,-81.0228331,Florida,United States,32114,us
Eagle Point Resort,Entire apartment,"Cascade Village, Vail",8.0,Very good,4,471,0,39.63600635,-106.40563075,Colorado,United States,81657,us
Hilton Pensacola Beach,2 private suite,Pensacola Beach,7.9,Good,2,948,0,30.3342348,-87.1350979,Florida,United States,32561,us
The Club at New Seabury,Entire apartment,Mashpee,8.8,Fabulous,4,326,0,41.6484421,-70.4811383,Massachusetts,United States,02649,us
Teton Valley Resort,2 private suite,Victor,8.9,Fabulous,2,747,0,41.7313887,-92.2979429,Iowa,United States,52347,us
