Name,Roomsinfo,Beds,Location,DiscountPrice,ActualPrice,Reviews,Host
Hope Cottage,"Entire holiday home • 2 bedrooms • 65m²3 beds (2 singles, 1 double)","<span class=""bb58e7a787"">Entire holiday home</span>",Ebrington,,,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Cabin Hideaways,Entire chalet • 1 bedroom • 1 living room • 1 bathroom • 30m²1 double bed,"<span class=""bb58e7a787"">Entire chalet</span>",Mattishall,,,"<div aria-label=""Scored 9.7 "" class=""b5cd09854e d10a6220b4"">9.7</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Host & Stay - Diamond Three,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 96m²2 beds (1 double, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Saltburn-by-the-Sea,,,"<div aria-label=""Scored 8.0 "" class=""b5cd09854e d10a6220b4"">8.0</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Family home with Popcorn & Netflix & Patio & Coffee,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 75m²4 beds (2 doubles, 2 sofa beds)","<span class=""bb58e7a787"">Entire apartment</span>",Town Moor,,,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Riverside cottage,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 200m²7 beds (4 singles, 2 extra-large doubles, 1 sofa bed)","<span class=""bb58e7a787"">Entire holiday home</span>",Treherbert,,,"<div aria-label=""Scored 9.0 "" class=""b5cd09854e d10a6220b4"">9.0</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
The Westgate,"Entire holiday home • 2 bedrooms • 2 living rooms • 2 bathrooms • 1 kitchen • 100m²3 beds (2 singles, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Charmouth,,,"<div aria-label=""Scored 9.0 "" class=""b5cd09854e d10a6220b4"">9.0</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Boutique Apartments in Reading by Creatick,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 65m²4 beds (2 singles, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Reading,,,"<div aria-label=""Scored 8.4 "" class=""b5cd09854e d10a6220b4"">8.4</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Dove Lodge Ashbourne Heights,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen3 beds (2 singles, 1 double)","<span class=""bb58e7a787"">Entire holiday home</span>",Ashbourne,,,"<div aria-label=""Scored 7.8 "" class=""b5cd09854e d10a6220b4"">7.8</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
TULIP LODGE-Green & Peace with hot tub,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 75m²4 beds (2 singles, 1 double, 1 sofa bed)","<span class=""bb58e7a787"">Entire holiday home</span>",Little Habton,,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Ocean Serviced Apartments,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 70m²4 beds (3 singles, 1 extra-large double)","<span class=""bb58e7a787"">Entire apartment</span>","Leith, Edinburgh",,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
