Name,Roomsinfo,Beds,Location,DiscountPrice,ActualPrice,Reviews,Host
The Barn,"Entire chalet • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 105m²2 beds (1 extra-large double, 1 large double)","<span class=""bb58e7a787"">Entire chalet</span>",Sevierville,,,"<div aria-label=""Scored 8.7 "" class=""b5cd09854e d10a6220b4"">8.7</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Crown Point Resort,"2 entire apartments • 2 bedrooms • 2 living rooms • 4 bathrooms • 2 kitchens4 beds (2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">2 entire apartments</span>",Horseshoe Bend,,,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
"A PLACE IN THE SUN Garden Hotel - Big Units with Privacy Gardens & Heated Pool & Spa in 1 Acre Park Prime Location, PET Friendly, TOP Midcentury Modern Boutique Hotel","Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 111m²2 beds (1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Entire bungalow</span>","Palm Springs Uptown, Palm Springs",,,"<div aria-label=""Scored 7.0 "" class=""b5cd09854e d10a6220b4"">7.0</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Fall River cozy apartment,Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 63m²2 large double beds,"<span class=""bb58e7a787"">Entire apartment</span>",Fall River,,,"<div aria-label=""Scored 7.9 "" class=""b5cd09854e d10a6220b4"">7.9</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Renzzi Wynwood Apartments,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²2 large double beds,"<span class=""bb58e7a787"">Entire apartment</span>",Miami,,,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Cozy Getaway at Lake O' the Pines,Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 93m²2 large double beds,"<span class=""bb58e7a787"">Entire holiday home</span>",Ore City,,,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Moon River Suites #5,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 102m²4 beds (2 doubles, 2 sofa beds)","<span class=""bb58e7a787"">Entire holiday home</span>",North Bend,,,"<div aria-label=""Scored 9.6 "" class=""b5cd09854e d10a6220b4"">9.6</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
"Rockaway Oceanview Retreat-Oceanviews,Steps to the beach & Downtown Rockaway, WiFi","Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²5 beds (1 extra-large double, 1 sofa bed, 3 large doubles)","<span class=""bb58e7a787"">Entire holiday home</span>",Rockaway Beach,,,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
VHC Modern Apartments,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 69m²4 beds (2 singles, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>","South Beach, Miami Beach",,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Dream 2 bedroom house with Canal View and Yard,"Entire holiday home • 2 bedrooms • 2 bathrooms • 1 kitchen • 102m²3 beds (1 extra-large double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",North Miami,,,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Lake Hartwell Rental w/Dock,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²3 beds (1 bunk bed, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Fair Play,,,"<div aria-label=""Scored 9.7 "" class=""b5cd09854e d10a6220b4"">9.7</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
"Secluded Oasis w Hot Tub, Screened-in Porch, WiFi!","Entire villa • 2 bedrooms • 2 bathrooms • 1 kitchen • 107m²2 beds (1 extra-large double, 1 large double)","<span class=""bb58e7a787"">Entire villa</span>",Berkeley Springs,,,"<div aria-label=""Scored 8.7 "" class=""b5cd09854e d10a6220b4"">8.7</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Zion Wildflower,2 entire bungalows • 2 bedrooms • 2 living rooms • 2 bathrooms2 extra-large double beds,"<span class=""bb58e7a787"">2 entire bungalows</span>",Virgin,,,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Tanglewood Resort,2 private suites2 large double beds,"<span class=""bb58e7a787"">2 private suites</span>",Pottsboro,,,"<div aria-label=""Scored 7.6 "" class=""b5cd09854e d10a6220b4"">7.6</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Fairway Forest,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms4 beds (2 extra-large doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 private suites</span>",Sapphire,,,"<div aria-label=""Scored 8.4 "" class=""b5cd09854e d10a6220b4"">8.4</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Mountainside Villas at Massanutten by TripForth,"Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 74m²5 beds (2 singles, 1 extra-large double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",McGaheysville,,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
The Diamond Hideaway,"Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²4 beds (2 singles, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Murfreesboro,,,"<div aria-label=""Scored 9.3 "" class=""b5cd09854e d10a6220b4"">9.3</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
"Yovan Longevity & Health Resorts, Catskills",1 large double bed,,Monticello,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 242,567</span>",,"<div aria-label=""Scored 7.8 "" class=""b5cd09854e d10a6220b4"">7.8</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Hilton Daytona Beach Resort,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms4 beds (2 extra-large doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 private suites</span>",Daytona Beach,,,"<div aria-label=""Scored 7.1 "" class=""b5cd09854e d10a6220b4"">7.1</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
The Club at New Seabury,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Mashpee,,,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Litchfield Beach & Golf Resort,"2 entire villas • 4 bedrooms • 2 living rooms • 4 bathrooms • 2 kitchens6 beds (4 doubles, 2 large doubles)","<span class=""bb58e7a787"">2 entire villas</span>",Pawleys Island,,,"<div aria-label=""Scored 7.5 "" class=""b5cd09854e d10a6220b4"">7.5</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Teton Valley Resort,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms4 beds (2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">2 private suites</span>",Victor,,,"<div aria-label=""Scored 8.9 "" class=""b5cd09854e d10a6220b4"">8.9</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
"The Lodge at Gulf State Park, A Hilton Hotel","2 private suites4 beds (2 extra-large doubles, 2 bunk beds)","<span class=""bb58e7a787"">2 private suites</span>",Gulf Shores,,,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
DoubleTree Suites by Hilton Orlando at Disney Springs,"2 private suites4 beds (2 sofa beds, 2 large doubles)","<span class=""bb58e7a787"">2 private suites</span>","Lake Buena Vista, Orlando",,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Hilton Palm Springs,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","Downtown Palm Springs, Palm Springs",,,"<div aria-label=""Scored 7.9 "" class=""b5cd09854e d10a6220b4"">7.9</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Myrtlewood Condos,"Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 102m²3 beds (2 singles, 1 extra-large double)","<span class=""bb58e7a787"">Entire villa</span>",Myrtle Beach,,,"<div aria-label=""Scored 7.6 "" class=""b5cd09854e d10a6220b4"">7.6</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
San Luis Bay Inn,"2 beds (1 sofa bed, 1 large double)",,Avila Beach,"<span aria-hidden=""true"" class=""fcab3ed991 bd73d13072"">KES 143,560</span>",,"<div aria-label=""Scored 8.5 "" class=""b5cd09854e d10a6220b4"">8.5</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
La Isla South Padre Residences,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 107m²3 beds (2 doubles, 1 extra-large double)","<span class=""bb58e7a787"">Entire apartment</span>",South Padre Island,,,"<div aria-label=""Scored 8.5 "" class=""b5cd09854e d10a6220b4"">8.5</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Aston At Poipu Kai,"Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 103m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Private suite</span>","Poipu, Koloa",,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Hilton Suites Ocean City Oceanfront,"2 private suites • 2 bedrooms • 2 living rooms • 2 bathrooms6 beds (4 doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 private suites</span>","Midtown, Ocean City",,,"<div aria-label=""Scored 8.8 "" class=""b5cd09854e d10a6220b4"">8.8</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
DoubleTree Resort by Hilton Myrtle Beach Oceanfront,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","The Market Common, Myrtle Beach",,,"<div aria-label=""Scored 7.2 "" class=""b5cd09854e d10a6220b4"">7.2</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Meliá Orlando Celebration,Private suite • 70m²1 extra-large double bed,"<span class=""bb58e7a787"">Private suite</span>","Celebration, Orlando",,,"<div aria-label=""Scored 8.4 "" class=""b5cd09854e d10a6220b4"">8.4</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
