Name,Listing_type,Location,Rating,Host,Beds,DiscountedPrice,OriginalPrice,Latitude,Longitude,City,State,Country
Little Mead.,Entire holiday home,Tenby,9.0,Superb,3,306,361,51.6726128,-4.7050443,,Cymru / Wales,United Kingdom
South Coast Haven Apartments,Entire apartment,Peacehaven,8.8,Fabulous,3,202,238,50.796951899999996,0.006895539586744438,,England,United Kingdom
16 Queen Avenue City Centre Serviced Apartment w free parking,Entire apartment,"Liverpool City Centre, Liverpool",8.4,Very good,3,271,0,53.4773112,-2.2581189,Manchester,England,United Kingdom
PENTHOUSE sea-view Apartment-Plymouth - Sleeps 7 - Private Parking - Habita Property,Entire apartment,Plymouth,8.0,Very good,8,244,320,50.3712659,-4.1425658,Plymouth,England,United Kingdom
Dormans Point,Entire holiday home,Donaghadee,9.5,Exceptional,1,197,214,54.6411042,-5.5391029,,Tuaisceart Éireann / Northern Ireland,United Kingdom
Smart Sleep Apartments,Entire apartment,"East End, Glasgow",9.0,Superb,3,357,388,55.858496900000006,-4.202141578949506,Glasgow,Alba / Scotland,United Kingdom
Hillyard Mews,Entire holiday home,Newcastle,9.4,Superb,3,213,266,54.9738474,-1.6131572,Newcastle upon Tyne,England,United Kingdom
ApartHotel421 by Seafront Collection,Entire apartment,"Blackpool Centre, Blackpool",8.1,Very good,5,294,319,53.79976295,-3.042623393215248,,England,United Kingdom
Zest Apartment Two,Entire apartment,"Manchester City Centre, Manchester",7.3,Good,2,316,343,53.484131,-2.2380465,Manchester,England,United Kingdom
Ardrossan 2 Bedroom Flat,Entire apartment,Ardrossan,8.3,Very good,1,182,214,55.6400504,-4.8148569,,Alba / Scotland,United Kingdom
Cosy two bedroom apartment,Entire apartment,Bishop Auckland,8.7,Fabulous,2,146,171,54.6640762,-1.6752864,,England,United Kingdom
Host & Stay - Diamond Three,Entire apartment,Saltburn-by-the-Sea,8.0,Very good,2,226,0,54.5846769,-0.9740921,,England,United Kingdom
Belgrade Plaza Serviced Apartments,Entire apartment,"Coventry City Centre, Coventry",8.2,Very good,2,212,304,52.41467755,-1.505690479531102,Coventry,England,United Kingdom
Superb City Center 1 or 2 BR Apts King Bed - Wise Stays,Entire apartment,"Southampton City Centre, Southampton",9.0,Superb,2,292,417,50.90804385,-1.4064830904331815,Southampton,England,United Kingdom
The Westgate,Entire holiday home,Charmouth,9.0,Superb,3,443,0,50.737992399999996,-2.906532918406503,,England,United Kingdom
TULIP LODGE-Green & Peace with hot tub,Entire holiday home,Little Habton,8.6,Fabulous,4,461,501,54.1856647,-0.8610486,Ryedale,England,United Kingdom
"THE OLD RECTORY ROSE COTTAGE in Jacobstow 10 mins to Widemouth bay and Crackington Haven,15 mins Bude,20 mins tintagel, 27 mins Port Issac",Entire holiday home,Jacobstow,8.8,Fabulous,3,191,207,50.7337413,-4.5550398,,England,United Kingdom
Just Launched! Modern 2-Bed Apartment in Coventry,Entire apartment,Spon End,8.7,Fabulous,4,311,339,52.4069072,-1.5247498,Coventry,England,United Kingdom
Heritage House Apartments - Blackpool Resort Collection,Entire apartment,"Blackpool Centre, Blackpool",8.9,Fabulous,5,394,0,53.79976295,-3.042623393215248,,England,United Kingdom
"Kings Court Modern Aparthotel, Town Centre - Blackpool Resort Collection",Entire apartment,"Blackpool Centre, Blackpool",8.9,Fabulous,4,357,0,53.79976295,-3.042623393215248,,England,United Kingdom
SideMersey Livings - 2 Bedroom Central Apartment with Parking,Entire apartment,"Liverpool City Centre, Liverpool",9.3,Superb,4,533,0,53.4773112,-2.2581189,Manchester,England,United Kingdom
Bayard Plaza Penthouse Apartments,Entire apartment,Peterborough,7.8,Good,3,339,388,52.5725769,-0.2427336,Peterborough,England,United Kingdom
DARTMOUTH TOWN CENTER and PRIVATE PARKING - TWO SUPER STYLISH DUPLEX APARTMENTS - With Connecting Door For Larger Groups!!!,Entire apartment,Dartmouth,8.8,Fabulous,4,321,388,50.3514839,-3.583844,South Hams,England,United Kingdom
Fabrik: Winter Gardens Service Apartments 2,Entire apartment,"North Shore, Blackpool",7.7,Good,4,177,0,53.8264674,-3.0537029,,England,United Kingdom
The Bewdley Bolthole - Your Hideaway,Entire bungalow,Bewdley,8.6,Fabulous,4,0,0,52.3754763,-2.3162408,Wyre Forest,England,United Kingdom
Troedyrhiw Holiday Cottages,Entire holiday home,Cardigan,9.3,Superb,2,0,0,52.0839973,-4.6604224,,Cymru / Wales,United Kingdom
"North Face Apartment , Fort William",Entire apartment,Torlundy,8.5,Very good,6,0,0,56.8478076,-5.0443183,,Alba / Scotland,United Kingdom
The Old Vicarage,Entire holiday home,Berwick-Upon-Tweed,9.5,Exceptional,3,0,0,55.7692442,-2.0026472,,England,United Kingdom
Olympic Village Vela - Portland,Entire holiday home,Portland,8.6,Fabulous,4,0,0,45.5202471,-122.674194,Portland,Oregon,United States
Calm Waters,Entire apartment,Kent,8.0,Very good,4,0,0,51.20707485,0.7210361813401444,,England,United Kingdom
Comfortable 2 Bed Apartment 2nd Floor Contractors Families Close To City Centre Occasional Bed Available,Entire apartment,Coventry,8.3,Very good,2,0,0,52.4081812,-1.510477,Coventry,England,United Kingdom
Shirley Fantastic Penthouse En-Suite Families and Contractors Occasional Bed Available,Entire apartment,Solihull,8.8,Fabulous,3,0,0,52.4130189,-1.7768935,,England,United Kingdom
J Quarter Contractors place,Entire apartment,"Jewellery Quarter, Birmingham",8.3,Very good,5,0,0,52.4879157,-1.9116096,Birmingham,England,United Kingdom
"West Cottage, Cerne Abbas Lane",Entire holiday home,Dorchester,8.8,Fabulous,3,0,0,50.7132064,-2.4371229,,England,United Kingdom
The Garden Flat,Entire holiday home,Charmouth,9.4,Superb,3,0,0,50.737992399999996,-2.906532918406503,,England,United Kingdom
The Annex,Entire holiday home,Tiverton,9.4,Superb,1,0,0,50.9025623,-3.4875797,Mid Devon,England,United Kingdom
Comfortable Apartment in Sheffield with Parking,Entire apartment,Neepsend,8.7,Fabulous,5,0,0,53.3926774,-1.4747055,Sheffield,England,United Kingdom
Olympic Village Home - Victory,Entire holiday home,Portland,8.2,Very good,4,0,0,45.5202471,-122.674194,Portland,Oregon,United States
The Victorian Barn Self Catering Holiday Complex,Entire holiday home,Woolland,8.1,Very good,3,0,0,50.86145535,-2.3168527197730127,,England,United Kingdom
Perfect Waterside Getaway! Luxury in Plymouth's RWY - Sleeps 6 - Private Parking - Habita Property,Entire apartment,Plymouth,8.2,Very good,3,0,0,50.3712659,-4.1425658,Plymouth,England,United Kingdom
"Macdonald Linden Hall, Golf & Country Club",2 private suite,Longhorsley,7.3,Good,2,0,0,55.25111445,-1.7667618287730993,,England,United Kingdom
Kingston Country Courtyard,Private suite,Kingston,8.7,Fabulous,1,0,0,17.9712148,-76.7928128,Kingston,,Jamaica
Tranquil Beachfront Deluxe Two Bedroom Apartment,Entire apartment,Kent,7.8,Good,1,0,0,51.20707485,0.7210361813401444,,England,United Kingdom
Doubletree By Hilton Glasgow Westerwood Spa & Golf Resort,2 private suite,Cumbernauld,7.6,Good,2,0,0,55.9477764,-3.9882568,,Alba / Scotland,United Kingdom
Bath House Hotel,Private suite,Chard,9.1,Superb,2,0,0,45.94409,2.47593,,Nouvelle-Aquitaine,France
Host & Stay - Pete's Retreat,Entire apartment,Saltburn-by-the-Sea,8.2,Very good,2,0,0,54.5846769,-0.9740921,,England,United Kingdom
Host & Stay - Carlewell Cottage,Entire holiday home,Middlesmoor,9.3,Superb,2,0,0,54.1635878,-1.8610047,,England,United Kingdom
Howgills Apartments,Entire apartment,Sedbergh,8.6,Fabulous,6,0,0,54.34600675,-2.483718041949941,South Lakeland,England,United Kingdom
Host & Stay - 39 Marine Parade,Entire apartment,Saltburn-by-the-Sea,9.1,Superb,2,0,0,54.5846769,-0.9740921,,England,United Kingdom
Studios At Glenthorne,Entire studio,Merthyr Tydfil,9.2,Superb,2,0,0,51.7455659,-3.3786082,,Cymru / Wales,United Kingdom
Croft Mill,Entire apartment,Hebden Bridge,9.5,Exceptional,2,0,0,53.7406425,-2.0092336,Calderdale,England,United Kingdom
Brighton Inn Boutique Guest Accommodation,Private suite,"Kemptown, Brighton & Hove",8.0,Very good,1,0,0,50.8192795,-0.1231562,Brighton,England,United Kingdom
Wyndham Duchally Country Estate,Entire vill,Auchterarder,8.9,Fabulous,4,0,0,56.2949827,-3.7066774,,Alba / Scotland,United Kingdom
Pebbles,Entire apartment,Winchelsea,9.0,Superb,4,0,0,50.9243896,0.7086362,Rother,England,United Kingdom
North Wales Lake View 2 Bedroom,Entire chalet,Caernarfon,8.0,Very good,3,0,0,53.1394364,-4.2769751,,Cymru / Wales,United Kingdom
Posh Pads - Liverpool 1 - Apart-Hotel,Entire apartment,"Liverpool City Centre, Liverpool",9.1,Superb,3,0,0,53.4773112,-2.2581189,Manchester,England,United Kingdom
Elizabeth Clark,Entire apartment,Manningtree,7.9,Good,3,0,0,51.9450866,1.0630218,,England,United Kingdom
The Print Works Apartments,Entire apartment,"Liverpool City Centre, Liverpool",7.9,Good,4,0,0,53.4773112,-2.2581189,Manchester,England,United Kingdom
The Boat Yard,Entire apartment,Appledore,7.5,Good,3,0,0,51.03644635,0.7849114340136915,,England,United Kingdom
The Castle Collection - 25 Castle Street,Entire apartment,"Liverpool City Centre, Liverpool",8.7,Fabulous,2,0,0,53.4773112,-2.2581189,Manchester,England,United Kingdom
The James Manchester,Entire apartment,"Manchester City Centre, Manchester",8.7,Fabulous,3,0,0,53.484131,-2.2380465,Manchester,England,United Kingdom
Primrose Cottage,Entire holiday home,North Petherwin,9.4,Superb,3,0,0,50.69319215,-4.461325272734107,,England,United Kingdom
Host & Stay - Fountains Cottage,Entire holiday home,Guisborough,8.3,Very good,2,0,0,54.5359551,-1.051085,,England,United Kingdom
Host & Stay - Harbour Cottage,Entire holiday home,Staithes,7.8,Good,2,0,0,54.555561,-0.7923465,,England,United Kingdom
Loch Insh Chalets Ltd,Entire apartment,Kincraig,8.6,Fabulous,1,0,0,57.1274984,-3.9311803,,Alba / Scotland,United Kingdom
Y Gorsaf,Entire holiday home,Llanfairpwllgwyngyll,8.8,Fabulous,2,0,0,53.2226484,-4.2036036,,Cymru / Wales,United Kingdom
Long Mountain Centre Log Cabins,Entire chalet,Meadowtown,8.6,Fabulous,4,0,0,52.6046709,-3.0176984,,England,United Kingdom
Host & Stay - Cornerhouse Apartments,Entire apartment,Saltburn-by-the-Sea,9.0,Superb,2,0,0,54.5846769,-0.9740921,,England,United Kingdom
"Orchard Lodge -Coastal Retreat, S/C, village views",Entire apartment,Saint Brides Major,9.8,Exceptional,3,0,0,51.4602719,-3.593739,,Cymru / Wales,United Kingdom
Edinburgh Castle Apartments,Entire apartment,"New Town, Edinburgh",8.5,Very good,3,0,0,55.9554575,-3.1989995,City of Edinburgh,Alba / Scotland,United Kingdom
4 Varis Apartments,Entire holiday home,Forres,8.8,Fabulous,2,0,0,57.609864,-3.613215,,Alba / Scotland,United Kingdom
Cabin at Aithernie,Entire apartment,Leven-Fife,9.1,Superb,3,0,0,56.1954351,-2.99692,,Alba / Scotland,United Kingdom
Host & Stay - Groveside Apartment,Entire apartment,Saltburn-by-the-Sea,8.3,Very good,2,0,0,54.5846769,-0.9740921,,England,United Kingdom
Charming Welsh Cottage,Entire holiday home,Johnston,9.4,Superb,3,0,0,35.5285816,-78.3768021,,North Carolina,United States
Normanby Cottage Runswick Bay,Entire holiday home,Runswick,8.8,Fabulous,2,0,0,51.308285749999996,-0.5637230093584646,,England,United Kingdom
Luxurious Apartment in Historic Mansion - Sleeps 7,Entire apartment,Ladock,8.7,Fabulous,5,0,0,50.3331405,-4.9645163694514896,,England,United Kingdom
Hob Lane Farm Cottage,Entire holiday home,Oughtibridge,9.3,Superb,1,0,0,53.4346989,-1.5377765,Sheffield,England,United Kingdom
Goilan Goch,Entire holiday home,Llandeilo,9.3,Superb,2,0,0,51.8853935,-3.9925144,,Cymru / Wales,United Kingdom
Newborough Cottage,Entire holiday home,Newborough,9.0,Superb,3,0,0,52.6392768,-0.2212138,,England,United Kingdom
Broome Park Hotel,2 entire chalet,Canterbury,7.7,Good,2,0,0,51.2800275,1.0802533,Canterbury,England,United Kingdom
