Name,Listing_type,Location,Rating,Host,Beds,DiscountedPrice,OriginalPrice,Latitude,Longitude,City,State,Country
The Barn,Entire chalet,Sevierville,8.7,Fabulous,2,0,361,35.8667112,-83.5620518,,Tennessee,United States
Crown Point Resort,2 entire apartment,Horseshoe Bend,9.2,Superb,2,0,238,36.2200685,-91.7474413,,Arkansas,United States
Fall River cozy apartment,Entire apartment,Fall River,7.9,Good,2,0,320,41.7010642,-71.1546367,Fall River,Massachusetts,United States
Renzzi Wynwood Apartments,Entire apartment,Miami,8.8,Fabulous,2,0,214,25.7741728,-80.19362,Miami,Florida,United States
Cozy Getaway at Lake O' the Pines,Entire holiday home,Ore City,9.5,Exceptional,2,0,388,32.8001354,-94.7207634,,Texas,United States
Moon River Suites #5,Entire holiday home,North Bend,9.6,Exceptional,4,0,266,47.4957757,-121.784889,,Washington,United States
"Rockaway Oceanview Retreat-Oceanviews,Steps to the beach & Downtown Rockaway, WiFi",Entire holiday home,Rockaway Beach,9.3,Superb,5,0,319,45.613598,-123.943147,,Oregon,United States
VHC Modern Apartments,Entire apartment,"South Beach, Miami Beach",8.1,Very good,4,0,343,25.7744291,-80.1332415,Miami Beach,Florida,United States
Dream 2 bedroom house with Canal View and Yard,Entire holiday home,North Miami,9.3,Superb,3,0,214,25.8900949,-80.1867138,,Florida,United States
Lake Hartwell Rental w/Dock,Entire holiday home,Fair Play,9.7,Exceptional,3,0,171,37.6300394,-93.5732585,,Missouri,United States
"Secluded Oasis w Hot Tub, Screened-in Porch, WiFi!",Entire vill,Berkeley Springs,8.7,Fabulous,2,0,0,39.6267975,-78.2279514,,West Virginia,United States
Zion Wildflower,2 entire bungalow,Virgin,9.2,Superb,2,0,304,37.201902,-113.1878542,,Utah,United States
Fairway Forest,2 private suite,Sapphire,8.4,Very good,2,0,0,41.0849899,29.005998304859514,,,Türkiye
Mountainside Villas at Massanutten by TripForth,Entire holiday home,McGaheysville,8.6,Fabulous,5,0,501,38.3712399,-78.7322449,,Virginia,United States
The Diamond Hideaway,Entire holiday home,Murfreesboro,9.3,Superb,4,0,0,35.8460396,-86.3921096,Murfreesboro,Tennessee,United States
Hilton Daytona Beach Resort,2 private suite,Daytona Beach,7.1,Good,2,0,339,29.2108147,-81.0228331,Daytona Beach,Florida,United States
The Club at New Seabury,Entire apartment,Mashpee,8.8,Fabulous,4,0,0,41.6484421,-70.4811383,,Massachusetts,United States
Litchfield Beach & Golf Resort,2 entire vill,Pawleys Island,7.5,Good,2,0,0,33.4293486,-79.1215912,,South Carolina,United States
Teton Valley Resort,2 private suite,Victor,8.9,Fabulous,2,0,0,41.7313887,-92.2979429,,Iowa,United States
Myrtlewood Condos,Entire vill,Myrtle Beach,7.6,Good,3,0,0,33.6956461,-78.8900409,Myrtle Beach,South Carolina,United States
La Isla South Padre Residences,Entire apartment,South Padre Island,8.5,Very good,3,0,0,26.1036887,-97.1646938,,Texas,United States
Aston At Poipu Kai,Private suite,"Poipu, Koloa",8.2,Very good,4,0,0,21.89046,-159.466,,Hawaii,United States
Hilton Suites Ocean City Oceanfront,2 private suite,"Midtown, Ocean City",8.8,Fabulous,2,0,0,38.3926679,-75.06488315,Ocean City,Maryland,United States
Meliá Orlando Celebration,Private suite,"Celebration, Orlando",8.4,Very good,1,0,0,28.5462415,-81.347551,Orlando,Florida,United States
Paradise at Canyon Lake,Entire holiday home,Canyon Lake,9.2,Superb,3,0,0,33.6836539,-117.262615,,California,United States
Sonder The Plymouth,Private suite,"Chicago Loop, Chicago",8.1,Very good,2,0,0,41.886493,-87.62012440000001,Chicago,Illinois,United States
Diamond Adventure Slope Side with Foosball and Arcade at Wintergreen Resort,Entire apartment,Wintergreen,,Exceptional,4,0,0,37.884862,-78.8994672,,Virginia,United States
Villas at Bahia Mar,Entire vill,South Padre Island,8.4,Very good,4,0,0,26.1036887,-97.1646938,,Texas,United States
Kasa Arlington Dallas,Entire apartment,Arlington,8.1,Very good,4,0,0,32.7355816,-97.1071186,Arlington,Texas,United States
Banyan Harbor Resort,Entire apartment,Lihue,8.1,Very good,3,0,0,21.9769622,-159.3687721,,Hawaii,United States
Exhibit A2,Entire apartment,Ann Arbor,8.7,Fabulous,3,0,0,42.2681569,-83.7312291,Ann Arbor,Michigan,United States
Summerspell Condominum,Entire apartment,"Miramar Beach, Destin",8.9,Fabulous,4,0,0,30.3776819,-86.3415734,,Florida,United States
Park Avenue Lofts,Entire holiday home,Freeport,8.2,Very good,3,0,0,42.2966861,-89.6212271,,Illinois,United States
Saida,Entire apartment,South Padre Island,8.5,Very good,4,0,0,26.1036887,-97.1646938,,Texas,United States
Sonder Lafayette Square,Private suite,"Downtown New Orleans, New Orleans",8.1,Very good,3,0,0,29.9504324,-90.07694881971895,New Orleans,Louisiana,United States
